Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,General Jewish,60-69,JanB,14/08/2021,2nd,36176,0.027642636
female,General Jewish,60-69,JanB,14/08/2021,12+,13369,0
female,General Jewish,60-69,FebA,14/08/2021,2nd,39654,0.025218137
female,General Jewish,60-69,FebA,14/08/2021,12+,2076,0
female,General Jewish,60-69,FebB,14/08/2021,2nd,11124,0
female,General Jewish,60-69,FebB,14/08/2021,12+,152,0
female,General Jewish,70-79,JanB,14/08/2021,2nd,22128,0.090383225
female,General Jewish,70-79,JanB,14/08/2021,12+,14911,0
female,General Jewish,70-79,FebA,14/08/2021,2nd,23192,0
female,General Jewish,70-79,FebA,14/08/2021,12+,2256,0
female,General Jewish,70-79,FebB,14/08/2021,2nd,5751,0
female,General Jewish,70-79,FebB,14/08/2021,12+,121,0
female,General Jewish,80+,JanB,14/08/2021,2nd,14777,0.135345469
female,General Jewish,80+,JanB,14/08/2021,12+,7648,0
female,General Jewish,80+,FebA,14/08/2021,2nd,16280,0.061425061
female,General Jewish,80+,FebA,14/08/2021,12+,1454,0
female,General Jewish,80+,FebB,14/08/2021,2nd,3708,0
female,General Jewish,80+,FebB,14/08/2021,12+,99,0
female,Arab,60-69,JanB,14/08/2021,2nd,2967,0
female,Arab,60-69,JanB,14/08/2021,12+,317,0
female,Arab,60-69,FebA,14/08/2021,2nd,7253,0
female,Arab,60-69,FebA,14/08/2021,12+,110,0
female,Arab,60-69,FebB,14/08/2021,2nd,3209,0.311623559
female,Arab,60-69,FebB,14/08/2021,12+,28,0
female,Arab,70-79,JanB,14/08/2021,2nd,1574,0
female,Arab,70-79,JanB,14/08/2021,12+,199,0
female,Arab,70-79,FebA,14/08/2021,2nd,3860,0
female,Arab,70-79,FebA,14/08/2021,12+,90,0
female,Arab,70-79,FebB,14/08/2021,2nd,1569,0
female,Arab,70-79,FebB,14/08/2021,12+,8,0
female,Arab,80+,JanB,14/08/2021,2nd,893,0
female,Arab,80+,JanB,14/08/2021,12+,73,0
female,Arab,80+,FebA,14/08/2021,2nd,1479,0
female,Arab,80+,FebA,14/08/2021,12+,19,0
female,Arab,80+,FebB,14/08/2021,2nd,595,0
female,Arab,80+,FebB,14/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,JanB,14/08/2021,2nd,1750,0
female,ultra-Orthodox Jews,60-69,JanB,14/08/2021,12+,462,0
female,ultra-Orthodox Jews,60-69,FebA,14/08/2021,2nd,2059,0
female,ultra-Orthodox Jews,60-69,FebA,14/08/2021,12+,93,0
female,ultra-Orthodox Jews,60-69,FebB,14/08/2021,2nd,766,0
female,ultra-Orthodox Jews,60-69,FebB,14/08/2021,12+,8,0
female,ultra-Orthodox Jews,70-79,JanB,14/08/2021,2nd,1193,0
female,ultra-Orthodox Jews,70-79,JanB,14/08/2021,12+,483,0
female,ultra-Orthodox Jews,70-79,FebA,14/08/2021,2nd,1393,0
female,ultra-Orthodox Jews,70-79,FebA,14/08/2021,12+,84,0
female,ultra-Orthodox Jews,70-79,FebB,14/08/2021,2nd,422,0
female,ultra-Orthodox Jews,70-79,FebB,14/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,JanB,14/08/2021,2nd,822,0
female,ultra-Orthodox Jews,80+,JanB,14/08/2021,12+,230,0
female,ultra-Orthodox Jews,80+,FebA,14/08/2021,2nd,897,0
female,ultra-Orthodox Jews,80+,FebA,14/08/2021,12+,50,0
female,ultra-Orthodox Jews,80+,FebB,14/08/2021,2nd,216,0
female,ultra-Orthodox Jews,80+,FebB,14/08/2021,12+,6,0
male,General Jewish,60-69,JanB,14/08/2021,2nd,28760,0
male,General Jewish,60-69,JanB,14/08/2021,12+,16357,0
male,General Jewish,60-69,FebA,14/08/2021,2nd,30790,0
male,General Jewish,60-69,FebA,14/08/2021,12+,2452,0
male,General Jewish,60-69,FebB,14/08/2021,2nd,8596,0
male,General Jewish,60-69,FebB,14/08/2021,12+,183,0
male,General Jewish,70-79,JanB,14/08/2021,2nd,17185,0.174570847
male,General Jewish,70-79,JanB,14/08/2021,12+,17384,0
male,General Jewish,70-79,FebA,14/08/2021,2nd,15552,0.064300412
male,General Jewish,70-79,FebA,14/08/2021,12+,2074,0
